Tabelle: 48112-0004
Unternehmen (EU), Waren- und Dienstleistungskäufe, ;;;;;;;;;;;;;;;;;;
Bruttoinvestitionen u.w. betriebsw. Kennzahlen: Deutschland,;;;;;;;;;;;;;;;;;;
Jahre, Wirtschaftszweige (WZ2008 1-4-Steller Hierarchie);;;;;;;;;;;;;;;;;;
Bereichsübergreifende Unternehmensstatistik;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
;;Unternehmen (EU);Waren- und Dienstleistungskäufe;Käufe v.Waren u.DL z.Wiederverk. i.unveränd. Zust.;Aufwendungen für Leiharbeitnehmer;Käufe von Energieprodukten;Vorratsveränd. bei fertigen und unfertigen Waren;Vorratsveränderungen bei Waren;Vorratsveränderungen bei Waren f. d. Wiederverkauf;Bruttoinvestitionen in Sachanlagen;Bruttoinvestitionen in Maschinen und Ausrüstungen;Bruttoinvest. in langfrist. immat. Vermögenswerte;Kosten für Rohstoffe bzw. Rohstoffeinkauf;Rohstoffverbrauch;Handelswareneinsatz;Zahlungen an Unterauftragnehmer;Einkünfte aus Unteraufträgen;Kosten für Mieten und Pachten
;;Anzahl;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR
2018;;;;;;;;;;;;;;;;;;
WZ08-2365;      Herstellung von Faserzementwaren;23;164;30;2;.;.;-;.;6;.;.;.;.;.;.;.;-
WZ08-2369;      H.v. sonst. Erzeugnissen aus Beton, Zement u.Gips;180;.;.;.;.;.;-;.;16;.;.;.;.;.;.;.;-
WZ08-237;    Be- u. Verarb. v. Naturwerk- u.Natursteinen a.n.g.;5193;1385;181;11;.;.;-;.;68;.;.;.;.;.;.;.;-
WZ08-239;    H.v. sonst. Erzeugn. aus nichtmetall. Mineralien;392;4166;548;37;.;.;-;.;237;.;.;.;.;.;.;.;-
WZ08-2391;      H.v. Schleifkörpern u.Schleifmitteln auf Unterlage;108;617;190;2;.;.;-;.;20;.;.;.;.;.;.;.;-
WZ08-2399;      H.v. sonst.Erzeugn. aus nichtmetall.Mineralien ang;284;3550;358;34;.;.;-;.;217;.;.;.;.;.;.;.;-
WZ08-24;  Metallerzeugung und -bearbeitung;2392;85763;13979;325;.;.;-;.;2502;.;.;.;.;.;.;.;-
WZ08-241;    Erzeugung von Roheisen, Stahl und Ferrolegierungen;459;25611;853;69;.;.;-;.;938;.;.;.;.;.;.;.;-
WZ08-242;    H.v. Stahlrohren und Rohrstücken aus Stahl;313;3893;172;35;.;.;-;.;168;.;.;.;.;.;.;.;-
WZ08-243;    Sonstige erste Bearbeitung von Eisen und Stahl;238;4330;225;27;.;.;-;.;332;.;.;.;.;.;.;.;-
WZ08-2431;      Herstellung von Blankstahl;53;412;56;3;.;.;-;.;29;.;.;.;.;.;.;.;-
WZ08-2432;      Herstellung von Kaltband unter 600 mm Breite;36;1788;26;7;.;.;-;.;151;.;.;.;.;.;.;.;-
WZ08-2433;      Herstellung von Kaltprofilen;95;1162;84;11;.;.;-;.;71;.;.;.;.;.;.;.;-
WZ08-2434;      Herstellung von kaltgezogenem Draht;54;968;59;6;.;.;-;.;81;.;.;.;.;.;.;.;-
WZ08-244;    Erzeugung und erste Bearb. von NE-Metallen;721;43446;12168;82;.;.;-;.;682;.;.;.;.;.;.;.;-
WZ08-2441;      Erzeugung und erste Bearb. von Edelmetallen;153;.;.;.;.;.;-;.;37;.;.;.;.;.;.;.;-
WZ08-2442;      Erzeugung und erste Bearb. von Aluminium;185;.;.;.;.;.;-;.;286;.;.;.;.;.;.;.;-
WZ08-2443;      Erzeugung und erste Bearb. von Blei,Zink u.Zinn;45;.;.;.;.;.;-;.;33;.;.;.;.;.;.;.;-
WZ08-2444;      Erzeugung und erste Bearb. von Kupfer;55;14738;1383;17;.;.;-;.;283;.;.;.;.;.;.;.;-
WZ08-2445;      Erzeugung und erste Bearb. von sonst. NE-Metallen;283;1071;30;2;.;.;-;.;42;.;.;.;.;.;.;.;-
WZ08-2446;      Aufbereitung von Kernbrennstoffen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-245;    Gießereien;661;8483;561;111;.;.;-;.;382;.;.;.;.;.;.;.;-
WZ08-2451;      Eisengießereien;230;3302;194;49;.;.;-;.;113;.;.;.;.;.;.;.;-
WZ08-2452;      Stahlgießereien;61;851;122;6;.;.;-;.;37;.;.;.;.;.;.;.;-
WZ08-2453;      Leichtmetallgießereien;278;3767;200;53;.;.;-;.;215;.;.;.;.;.;.;.;-
WZ08-2454;      Buntmetallgießereien;92;562;46;4;.;.;-;.;16;.;.;.;.;.;.;.;-
WZ08-25;  Herstellung von Metallerzeugnissen;44887;84331;10578;1287;.;.;-;.;4827;.;.;.;.;.;.;.;-
WZ08-251;    Stahl- und Leichtmetallbau;12624;17764;1562;320;.;.;-;.;909;.;.;.;.;.;.;.;-
WZ08-2511;      Herstellung von Metallkonstruktionen;9397;13477;949;269;.;.;-;.;642;.;.;.;.;.;.;.;-
WZ08-2512;      Herstellung von Ausbauelementen aus Metall;3227;4287;613;51;.;.;-;.;268;.;.;.;.;.;.;.;-
WZ08-252;    H.v. Metalltanks, Heizkörpern und -kesseln;531;4044;1059;54;.;.;-;.;106;.;.;.;.;.;.;.;-
WZ08-2521;      H.v. Heizkörpern, -kesseln für Zentralheizungen;88;2684;1043;28;.;.;-;.;75;.;.;.;.;.;.;.;-
WZ08-2529;      H.v. Tanks, Sammel- u.ä. Metallbehältern;443;1361;16;26;.;.;-;.;32;.;.;.;.;.;.;.;-
WZ08-253;    H.v. Dampfkesseln (ohne Zentralheizungskessel);70;668;33;20;.;.;-;.;11;.;.;.;.;.;.;.;-
WZ08-254;    Herstellung von Waffen und Munition;237;3019;686;30;.;.;-;.;164;.;.;.;.;.;.;.;-
WZ08-255;    H.v. Schmiede-, Press-, Zieh-, Stanzteilen u.Ä.;1483;13799;1036;222;.;.;-;.;876;.;.;.;.;.;.;.;-
WZ08-256;    Oberflächenveredlung,Wärmebehandlung,Mechanik ang;21373;16940;1349;274;.;.;-;.;1273;.;.;.;.;.;.;.;-
WZ08-2561;      Oberflächenveredlung und Wärmebehandlung;3433;5809;826;154;.;.;-;.;412;.;.;.;.;.;.;.;-
WZ08-2562;      Mechanik a.n.g.;17940;11132;523;120;.;.;-;.;861;.;.;.;.;.;.;.;-
WZ08-257;    H.v.Schneidwaren,Werkzeug.,Schlössern u.Beschlägen;4133;12289;1938;158;.;.;-;.;779;.;.;.;.;.;.;.;-
WZ08-2571;      H.v. Schneidwaren u.Bestecken aus unedlen Metallen;248;680;149;9;.;.;-;.;27;.;.;.;.;.;.;.;-
WZ08-2572;      H.v. Schlössern u.Beschlägen aus unedlen Metallen;840;4789;766;78;.;.;-;.;260;.;.;.;.;.;.;.;-
WZ08-2573;      Herstellung von Werkzeugen;3045;6820;1023;71;.;.;-;.;492;.;.;.;.;.;.;.;-
WZ08-259;    Herstellung von sonstigen Metallwaren;4436;15808;2916;209;.;.;-;.;708;.;.;.;.;.;.;.;-
WZ08-2591;      H.v. Fässern,Trommeln,Dosen,Eimern u.ä. aus Metall;168;413;28;5;.;.;-;.;15;.;.;.;.;.;.;.;-
WZ08-2592;      H.v. Verpackungen und Verschlüssen aus Metall;126;2210;853;14;.;.;-;.;75;.;.;.;.;.;.;.;-
WZ08-2593;      Herstellung von Drahtwaren, Ketten und Federn;521;4338;768;45;.;.;-;.;170;.;.;.;.;.;.;.;-
WZ08-2594;      Herstellung von Schrauben und Nieten;348;2346;186;22;.;.;-;.;168;.;.;.;.;.;.;.;-
WZ08-2599;      Herstellung von sonstigen Metallwaren a.n.g.;3273;6500;1080;122;.;.;-;.;280;.;.;.;.;.;.;.;-
WZ08-26;  H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;8848;.;.;.;.;.;-;.;3118;.;.;.;.;.;.;.;-
WZ08-261;    H.v. elektronischen Bauelementen und Leiterplatten;2284;18400;4855;240;.;.;-;.;1112;.;.;.;.;.;.;.;-
WZ08-2611;      Herstellung von elektronischen Bauelementen;1962;17112;4621;230;.;.;-;.;1078;.;.;.;.;.;.;.;-
WZ08-2612;      Herstellung von bestückten Leiterplatten;322;1288;234;10;.;.;-;.;34;.;.;.;.;.;.;.;-
WZ08-262;    H.v. DV-Geräten und peripheren Geräten;1297;1781;168;16;.;.;-;.;58;.;.;.;.;.;.;.;-
WZ08-263;    H.v. Geräten u. Einr. d. Telekommunikationstechnik;927;3794;555;30;.;.;-;.;147;.;.;.;.;.;.;.;-
WZ08-264;    H.v. Geräten der Unterhaltungselektronik;368;.;.;.;.;.;-;.;33;.;.;.;.;.;.;.;-
WZ08-265;    H.v. Mess-, Kontroll-, Navig.-u.ä. Instr., Uhren;2833;22840;2162;289;.;.;-;.;1164;.;.;.;.;.;.;.;-
WZ08-2651;      H.v. Mess-, Kontroll-, Navig.-u.ä. Instr. u.Vorr.;2672;22590;2131;288;.;.;-;.;1154;.;.;.;.;.;.;.;-
WZ08-2652;      Herstellung von Uhren;161;250;31;1;.;.;-;.;10;.;.;.;.;.;.;.;-
WZ08-266;    H.v. Bestrahlungs- u.a. elektromed. Geräten;309;8097;994;74;.;.;-;.;141;.;.;.;.;.;.;.;-
WZ08-267;    H.v. optischen und fotografischen Geräten;705;.;.;.;.;.;-;.;460;.;.;.;.;.;.;.;-
WZ08-268;    H.v. magnetischen und optischen Datenträgern;125;.;.;.;.;.;-;.;2;.;.;.;.;.;.;.;-
WZ08-27;  Herstellung von elektrischen Ausrüstungen;6503;83246;19303;738;.;.;-;.;3471;.;.;.;.;.;.;.;-
WZ08-271;    H.v. Elektromot.,Generatoren,Transformatoren usw;2283;36219;5515;312;.;.;-;.;1053;.;.;.;.;.;.;.;-
WZ08-2711;      H.v. Elektromotoren,Generatoren,Transformatoren;1003;8704;2330;102;.;.;-;.;312;.;.;.;.;.;.;.;-
WZ08-2712;      H.v. Elektriz.verteilungs- u. -schalteinrichtungen;1280;27515;3185;210;.;.;-;.;741;.;.;.;.;.;.;.;-
WZ08-272;    Herstellung von Batterien und Akkumulatoren;116;4162;1254;45;.;.;-;.;509;.;.;.;.;.;.;.;-
WZ08-273;    H.v. Kabeln und elektrischem Installationsmaterial;1033;13398;3239;151;.;.;-;.;655;.;.;.;.;.;.;.;-
WZ08-2731;      Herstellung von Glasfaserkabeln;39;163;19;1;.;.;-;.;3;.;.;.;.;.;.;.;-
WZ08-2732;      H.v. sonst. elektron.u.elektr. Drähten u. Kabeln;332;4006;382;22;.;.;-;.;157;.;.;.;.;.;.;.;-
WZ08-2733;      Herstellung von elektrischem Installationsmaterial;662;9230;2838;128;.;.;-;.;495;.;.;.;.;.;.;.;-
WZ08-274;    Herstellung von elektrischen Lampen und Leuchten;1038;2979;450;37;.;.;-;.;106;.;.;.;.;.;.;.;-
WZ08-275;    Herstellung von Haushaltsgeräten;289;15177;7719;75;.;.;-;.;634;.;.;.;.;.;.;.;-
WZ08-2751;      Herstellung von elektrischen Haushaltsgeräten;245;.;.;.;.;.;-;.;586;.;.;.;.;.;.;.;-
WZ08-2752;      H.v. nicht elektrischen Haushaltsgeräten;44;.;.;.;.;.;-;.;49;.;.;.;.;.;.;.;-
WZ08-279;    H.v. sonst. elektr. Ausrüstungen u. Geräten a.n.g.;1744;11311;1126;117;.;.;-;.;514;.;.;.;.;.;.;.;-
WZ08-28;  Maschinenbau;17042;193669;34341;2359;.;.;-;.;7735;.;.;.;.;.;.;.;-
WZ08-281;    H.v. nicht wirtschaftszweigspezifischen Maschinen;2231;71820;18563;617;.;.;-;.;3366;.;.;.;.;.;.;.;-
WZ08-2811;      H.v. Verbrenn.mot.u.Turbinen (oh.Straßenfahrz.usw);195;34905;11176;202;.;.;-;.;1544;.;.;.;.;.;.;.;-
WZ08-2812;      H.v. hydraulischen und pneumatischen Komponenten;444;5595;901;58;.;.;-;.;287;.;.;.;.;.;.;.;-
WZ08-2813;      Herstellung von Pumpen und Kompressoren a.n.g.;479;8226;1151;111;.;.;-;.;458;.;.;.;.;.;.;.;-
WZ08-2814;      Herstellung von Armaturen a.n.g.;416;7123;1441;107;.;.;-;.;345;.;.;.;.;.;.;.;-
WZ08-2815;      H.v. Lagern,Getrieben,Zahnrädern,Antriebselementen;697;15971;3893;140;.;.;-;.;732;.;.;.;.;.;.;.;-
WZ08-282;    H.v.sonst. nicht wirtschaftszweigspezif. Maschinen;6175;53966;8834;837;.;.;-;.;1888;.;.;.;.;.;.;.;-
WZ08-2821;      Herstellung von Öfen und Brennern;504;1798;179;44;.;.;-;.;44;.;.;.;.;.;.;.;-
WZ08-2822;      Herstellung von Hebezeugen und Fördermitteln;1140;13976;2419;165;.;.;-;.;379;.;.;.;.;.;.;.;-
WZ08-2823;      H.v. Büromaschinen (ohne DV-u.periphere Geräte);91;1496;296;22;.;.;-;.;39;.;.;.;.;.;.;.;-
WZ08-2824;      H.v. handgeführten Werkzeugen mit Motorantrieb;233;4933;2764;21;.;.;-;.;229;.;.;.;.;.;.;.;-
WZ08-2825;      H.v. kälte-u.lufttechn.Erzeugn.,nicht f.d.Haushalt;1426;11216;525;147;.;.;-;.;327;.;.;.;.;.;.;.;-
WZ08-2829;      H.v. sonst. nicht WZ-spezifischen Maschinen a.n.g.;2781;20547;2652;438;.;.;-;.;871;.;.;.;.;.;.;.;-
WZ08-283;    H.v. land- und forstwirtschaftlichen Maschinen;556;10976;2143;157;.;.;-;.;340;.;.;.;.;.;.;.;-
WZ08-284;    Herstellung von Werkzeugmaschinen;2352;13910;1578;116;.;.;-;.;559;.;.;.;.;.;.;.;-
WZ08-2841;      H.v. Werkzeugmaschinen für die Metallbearbeitung;1547;9891;872;79;.;.;-;.;385;.;.;.;.;.;.;.;-
WZ08-2849;      Herstellung von sonstigen Werkzeugmaschinen;805;4019;707;36;.;.;-;.;174;.;.;.;.;.;.;.;-
WZ08-289;    H.v. Maschinen f.sonst.best.Wirtschaftszweige;5728;42997;3223;632;.;.;-;.;1582;.;.;.;.;.;.;.;-
WZ08-2891;      H.v. Maschinen f.Metallerzeugung,Walzwerkseinr.usw;183;1430;17;16;.;.;-;.;78;.;.;.;.;.;.;.;-
WZ08-2892;      H.v. Bergwerks-, Bau- und Baustoffmaschinen;382;11689;1154;168;.;.;-;.;411;.;.;.;.;.;.;.;-
WZ08-2893;      H.v. Maschinen f.Nahrungsm.erzg.u.ä.,Tabakverarb.;520;3774;382;57;.;.;-;.;151;.;.;.;.;.;.;.;-
WZ08-2894;      H.v.Masch.f.d.Textil-u.Bekleid.herst.,Lederverarb.;226;2833;291;30;.;.;-;.;132;.;.;.;.;.;.;.;-
WZ08-2895;      H.v. Maschinen f.d.Papiererzeugung u.-verarbeitung;118;880;28;10;.;.;-;.;30;.;.;.;.;.;.;.;-
WZ08-2896;      H.v. Maschinen f.d.Verarb.v.Kunststoff u.Kautschuk;317;4682;172;82;.;.;-;.;232;.;.;.;.;.;.;.;-
WZ08-2899;      H.v. Masch.f.sonst.best.Wirtschaftszweige a.n.g.;3982;17709;1179;270;.;.;-;.;548;.;.;.;.;.;.;.;-
WZ08-29;  Herstellung von Kraftwagen und Kraftwagenteilen;3044;378756;119845;2318;.;.;-;.;14132;.;.;.;.;.;.;.;-
WZ08-291;    Herstellung von Kraftwagen und Kraftwagenmotoren;319;313692;113391;1500;.;.;-;.;11669;.;.;.;.;.;.;.;-
WZ08-292;    Herstellung von Karosserien, Aufbauten u.Anhängern;1450;8959;969;153;.;.;-;.;231;.;.;.;.;.;.;.;-
WZ08-293;    Herstellung von Teilen und Zubehör für Kraftwagen;1275;56105;5484;665;.;.;-;.;2232;.;.;.;.;.;.;.;-
WZ08-2931;      H.v. elektr.u.elektron. Ausrüstg. für Kraftwagen;204;4719;964;54;.;.;-;.;236;.;.;.;.;.;.;.;-
WZ08-2932;      H.v. sonst. Teilen u. sonst. Zubehör f. Kraftwagen;1071;51386;4521;611;.;.;-;.;1996;.;.;.;.;.;.;.;-
WZ08-30;  Sonstiger Fahrzeugbau;1461;31759;324;1022;.;.;-;.;1223;.;.;.;.;.;.;.;-
WZ08-301;    Schiff- und Bootsbau;596;.;.;.;.;.;-;.;183;.;.;.;.;.;.;.;-
WZ08-3011;      Schiffbau (ohne Boots- und Yachtbau);147;.;.;.;.;.;-;.;125;.;.;.;.;.;.;.;-
WZ08-3012;      Boots- und Yachtbau;449;2112;23;76;.;.;-;.;58;.;.;.;.;.;.;.;-
WZ08-302;    Schienenfahrzeugbau;134;.;.;.;.;.;-;.;67;.;.;.;.;.;.;.;-
WZ08-303;    Luft- und Raumfahrzeugbau;264;.;.;.;.;.;-;.;870;.;.;.;.;.;.;.;-
WZ08-304;    Herstellung von militärischen Kampffahrzeugen;7;.;.;.;.;.;-;.;40;.;.;.;.;.;.;.;-
WZ08-309;    Herstellung von Fahrzeugen a.n.g.;460;2181;91;33;.;.;-;.;63;.;.;.;.;.;.;.;-
WZ08-3091;      Herstellung von Krafträdern;93;962;38;18;.;.;-;.;41;.;.;.;.;.;.;.;-
WZ08-3092;      H.v. Fahrrädern sowie von Behindertenfahrzeugen;244;1094;46;15;.;.;-;.;20;.;.;.;.;.;.;.;-
WZ08-3099;      Herstellung von sonstigen Fahrzeugen a.n.g.;123;125;6;1;.;.;-;.;2;.;.;.;.;.;.;.;-
WZ08-31;  Herstellung von Möbeln;11031;13492;1272;252;.;.;-;.;849;.;.;.;.;.;.;.;-
WZ08-3101;      Herstellung von Büro- und Ladenmöbeln;1554;3474;391;105;.;.;-;.;173;.;.;.;.;.;.;.;-
WZ08-3102;      Herstellung von Küchenmöbeln;661;3311;184;30;.;.;-;.;473;.;.;.;.;.;.;.;-
WZ08-3103;      Herstellung von Matratzen;116;810;143;20;.;.;-;.;9;.;.;.;.;.;.;.;-
WZ08-3109;      Herstellung von sonstigen Möbeln;8700;5897;554;97;.;.;-;.;194;.;.;.;.;.;.;.;-
WZ08-32;  Herstellung von sonstigen Waren;21162;.;6909;226;.;.;-;.;1876;.;.;.;.;.;.;.;-
WZ08-321;    Herstellung von Münzen, Schmuck u.ä. Erzeugnissen;3727;.;.;.;.;.;-;.;18;.;.;.;.;.;.;.;-
WZ08-3211;      Herstellung von Münzen;35;.;.;.;.;.;-;.;2;.;.;.;.;.;.;.;-
WZ08-3212;      H.v. Schmuck, Gold- und Silberschmiedewaren;3285;696;82;2;.;.;-;.;15;.;.;.;.;.;.;.;-
WZ08-3213;      Herstellung von Fantasieschmuck;407;48;3;.;.;.;-;.;1;.;.;.;.;.;.;.;-
WZ08-322;    Herstellung von Musikinstrumenten;1452;.;.;.;.;.;-;.;23;.;.;.;.;.;.;.;-
WZ08-323;    Herstellung von Sportgeräten;536;649;133;5;.;.;-;.;35;.;.;.;.;.;.;.;-
WZ08-324;    Herstellung von Spielwaren;745;2345;544;17;.;.;-;.;232;.;.;.;.;.;.;.;-
WZ08-325;    H.v. med. u. zahnmed. Apparaten und Materialien;12033;19814;5500;158;.;.;-;.;1420;.;.;.;.;.;.;.;-
WZ08-329;    Herstellung von Erzeugnissen a.n.g.;2669;2345;598;42;.;.;-;.;148;.;.;.;.;.;.;.;-
WZ08-3291;      Herstellung von Besen und Bürsten;184;637;134;19;.;.;-;.;78;.;.;.;.;.;.;.;-
WZ08-3299;      Herstellung von sonstigen Erzeugnissen a.n.g.;2485;1708;463;23;.;.;-;.;70;.;.;.;.;.;.;.;-
WZ08-33;  Reparatur u.Installation von Masch.u.Ausrüstungen;17168;24864;2589;621;.;.;-;.;743;.;.;.;.;.;.;.;-
WZ08-331;    Reparatur v.Metallerzeugn., Masch.u.Ausrüstungen;11726;13772;1679;258;.;.;-;.;438;.;.;.;.;.;.;.;-
WZ08-3311;      Reparatur von Metallerzeugnissen;935;929;55;87;.;.;-;.;55;.;.;.;.;.;.;.;-
WZ08-3312;      Reparatur von Maschinen;7031;5036;1306;101;.;.;-;.;180;.;.;.;.;.;.;.;-
WZ08-3313;      Reparatur von elektronischen und optischen Geräten;581;371;31;8;.;.;-;.;9;.;.;.;.;.;.;.;-
WZ08-3314;      Reparatur von elektrischen Ausrüstungen;669;654;131;16;.;.;-;.;38;.;.;.;.;.;.;.;-
WZ08-3315;      Reparatur u.Instandh. v.Schiffen, Booten u.Yachten;620;490;22;3;.;.;-;.;22;.;.;.;.;.;.;.;-
WZ08-3316;      Reparatur u.Instandh. von Luft- und Raumfahrzeugen;182;5702;101;33;.;.;-;.;100;.;.;.;.;.;.;.;-
WZ08-3317;      Reparatur und Instandhaltung von Fahrzeugen a.n.g.;1233;461;5;10;.;.;-;.;29;.;.;.;.;.;.;.;-
WZ08-3319;      Reparatur von sonstigen Ausrüstungen;475;129;27;0;.;.;-;.;4;.;.;.;.;.;.;.;-
WZ08-332;    Installation von Maschinen und Ausrüstungen a.n.g.;5442;11091;911;363;.;.;-;.;305;.;.;.;.;.;.;.;-
WZ08-D;Energieversorgung;62531;517953;6217;231;.;.;-;.;20388;.;.;.;.;.;.;.;-
WZ08-35;  Energieversorgung;62531;517953;6217;231;.;.;-;.;20388;.;.;.;.;.;.;.;-
WZ08-351;    Elektrizitätsversorgung;57466;470205;6083;215;.;.;-;.;18240;.;.;.;.;.;.;.;-
WZ08-3511;      Elektrizitätserzeugung;55211;181109;1573;70;.;.;-;.;5434;.;.;.;.;.;.;.;-
WZ08-3512;      Elektrizitätsübertragung;315;.;.;.;.;.;-;.;4146;.;.;.;.;.;.;.;-
WZ08-3513;      Elektrizitätsverteilung;1001;.;.;.;.;.;-;.;6062;.;.;.;.;.;.;.;-
WZ08-3514;      Elektrizitätshandel;939;171499;4319;32;.;.;-;.;2597;.;.;.;.;.;.;.;-
WZ08-352;    Gasversorgung;3676;43927;125;11;.;.;-;.;1332;.;.;.;.;.;.;.;-
WZ08-3521;      Gaserzeugung;3428;835;2;.;.;.;-;.;55;.;.;.;.;.;.;.;-
WZ08-3522;      Gasverteilung durch Rohrleitungen;115;10819;26;.;.;.;-;.;598;.;.;.;.;.;.;.;-
WZ08-3523;      Gashandel durch Rohrleitungen;133;32273;97;6;.;.;-;.;679;.;.;.;.;.;.;.;-
WZ08-353;    Wärme- und Kälteversorgung;1389;3821;9;4;.;.;-;.;816;.;.;.;.;.;.;.;-
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;10009;42437;2364;367;.;.;-;.;9433;.;.;.;.;.;.;.;-
WZ08-36;  Wasserversorgung;2032;7404;68;12;.;.;-;.;2902;.;.;.;.;.;.;.;-
WZ08-37;  Abwasserentsorgung;2242;.;.;.;.;.;-;.;3481;.;.;.;.;.;.;.;-
WZ08-38;  Sammlung, Abfallbeseitigung, Rückgewinnung;5345;29678;2260;313;.;.;-;.;2998;.;.;.;.;.;.;.;-
WZ08-381;    Sammlung von Abfällen;1722;12797;1230;155;.;.;-;.;1660;.;.;.;.;.;.;.;-
WZ08-3811;      Sammlung nicht gefährlicher Abfälle;1653;.;.;.;.;.;-;.;1637;.;.;.;.;.;.;.;-
WZ08-3812;      Sammlung gefährlicher Abfälle;69;.;.;.;.;.;-;.;23;.;.;.;.;.;.;.;-
WZ08-382;    Abfallbehandlung und -beseitigung;1569;7620;143;97;.;.;-;.;926;.;.;.;.;.;.;.;-
WZ08-3821;      Behandlung u. Beseitig. nicht gefährlicher Abfälle;1373;6530;134;67;.;.;-;.;831;.;.;.;.;.;.;.;-
WZ08-3822;      Behandlung und Beseitigung gefährlicher Abfälle;196;1090;9;30;.;.;-;.;95;.;.;.;.;.;.;.;-
WZ08-383;    Rückgewinnung;2054;9262;887;61;.;.;-;.;412;.;.;.;.;.;.;.;-
WZ08-3831;      Zerlegen v. Schiffs- u. Fahrzeugwracks u. Altwaren;448;1173;129;3;.;.;-;.;25;.;.;.;.;.;.;.;-
WZ08-3832;      Rückgewinnung sortierter Werkstoffe;1606;8089;757;58;.;.;-;.;387;.;.;.;.;.;.;.;-
WZ08-39;  Beseitigung v. Umweltverschm. u.sonst.Entsorgung;390;.;.;.;.;.;-;.;52;.;.;.;.;.;.;.;-
WZ08-F;Baugewerbe;393852;227470;6751;45;.;.;-;.;11079;.;.;.;.;.;.;.;-
WZ08-41;  Hochbau;30424;74149;2602;9;.;.;-;.;2650;.;.;.;.;.;.;.;-
WZ08-411;    Erschließung von Grundstücken, Bauträger;7978;24859;273;0;.;.;-;.;832;.;.;.;.;.;.;.;-
WZ08-412;    Bau von Gebäuden;22446;49290;2329;9;.;.;-;.;1818;.;.;.;.;.;.;.;-
WZ08-42;  Tiefbau;9850;29717;716;22;.;.;-;.;2473;.;.;.;.;.;.;.;-
WZ08-421;    Bau von Straßen und Bahnverkehrsstrecken;3481;14458;526;16;.;.;-;.;1189;.;.;.;.;.;.;.;-
WZ08-4211;      Bau von Straßen;3109;11987;492;15;.;.;-;.;1019;.;.;.;.;.;.;.;-
WZ08-4212;      Bau von Bahnverkehrsstrecken;269;1215;24;.;.;.;-;.;103;.;.;.;.;.;.;.;-
WZ08-4213;      Brücken- und Tunnelbau;103;1257;11;.;.;.;-;.;67;.;.;.;.;.;.;.;-
WZ08-422;    Leitungstiefbau und Kläranlagenbau;3594;8522;95;3;.;.;-;.;719;.;.;.;.;.;.;.;-
WZ08-4221;      Rohrleitungstiefbau, Brunnenbau und Kläranlagenbau;2066;5913;80;.;.;.;-;.;491;.;.;.;.;.;.;.;-
WZ08-4222;      Kabelnetzleitungstiefbau;1528;2609;15;.;.;.;-;.;228;.;.;.;.;.;.;.;-
WZ08-429;    Sonstiger Tiefbau;2775;6737;94;2;.;.;-;.;565;.;.;.;.;.;.;.;-
WZ08-4291;      Wasserbau;143;399;2;.;.;.;-;.;26;.;.;.;.;.;.;.;-
WZ08-4299;      Sonstiger Tiefbau a.n.g.;2632;6338;92;.;.;.;-;.;539;.;.;.;.;.;.;.;-
WZ08-43;  Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;353578;123603;3433;15;.;.;-;.;5957;.;.;.;.;.;.;.;-
WZ08-431;    Abbrucharbeiten u. vorbereit. Baustellenarbeiten;8246;4197;65;1;.;.;-;.;483;.;.;.;.;.;.;.;-
WZ08-4311;      Abbrucharbeiten;4022;2483;17;1;.;.;-;.;248;.;.;.;.;.;.;.;-
WZ08-4312;      Vorbereitende Baustellenarbeiten;4049;1580;42;.;.;.;-;.;217;.;.;.;.;.;.;.;-
WZ08-4313;      Test- und Suchbohrung;175;134;5;.;.;.;-;.;18;.;.;.;.;.;.;.;-
WZ08-432;    Bauinstallation;139072;61787;1930;9;.;.;-;.;2170;.;.;.;.;.;.;.;-
WZ08-4321;      Elektroinstallation;40137;17895;677;6;.;.;-;.;734;.;.;.;.;.;.;.;-
WZ08-4322;      Gas-, Wasser-, Heizungs-, Lüftungs- u. Klimainst.;50831;30888;978;2;.;.;-;.;874;.;.;.;.;.;.;.;-
WZ08-4329;      Sonstige Bauinstallation;48104;13005;275;1;.;.;-;.;562;.;.;.;.;.;.;.;-
WZ08-433;    Sonstiger Ausbau;150427;30753;690;2;.;.;-;.;1680;.;.;.;.;.;.;.;-
WZ08-4331;      Anbringen v. Stuckaturen, Gipserei u. Verputzerei;10598;3075;46;.;.;.;-;.;138;.;.;.;.;.;.;.;-
WZ08-4332;      Bautischlerei und -schlosserei;39921;9488;252;1;.;.;-;.;497;.;.;.;.;.;.;.;-
WZ08-4333;      Fußboden-, Fliesen-, Plattenlegerei, Tapeziererei;52195;8151;111;0;.;.;-;.;537;.;.;.;.;.;.;.;-
WZ08-4334;      Malerei und Glaserei;35563;7976;251;.;.;.;-;.;447;.;.;.;.;.;.;.;-
