Jahr;Kurzzeichen;Wirtschaftszweige;Unternehmen (EU);Tätige Personen;Lohn- und Gehaltsempfänger;Lohn- und Gehaltsempfänger in Vollzeiteinheiten;Personalaufwendungen;Bruttolöhne und -gehälter;Sozialversicherungskosten;Umsatz;Bruttogewinnspanne bei Handelswaren;Produktionswert;Bruttowertschöpfung zu Faktorkosten;Bruttobetriebsüberschuss
2020;WZ08-I;Gastgewerbe;214558;1858245;1614688;1082869;21860;17386;4475;62044;.;62754;33585;11724
2020;WZ08-J;Information und Kommunikation;120459;1478709;1348253;1170896;86952;72245;14707;300580;.;223500;138196;51244
2020;WZ08-K;Erbringung von Finanz- und Versicherungsleistungen;-;-;-;-;-;-;-;-;.;-;-;-
2020;WZ08-L;Grundstücks- und Wohnungswesen;157593;500367;315170;257693;13724;11351;2373;121251;.;101424;65951;52227
2020;WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;451336;2538446;2037918;1722372;112731;94463;18268;321218;.;263040;173145;60414
2020;WZ08-N;Sonstige wirtschaftliche Dienstleistungen;201659;3037514;2823867;2113530;75534;61976;13558;219701;.;172385;124880;49346
2020;WZ08-P;Erziehung und Unterricht;-;-;-;-;-;-;-;-;.;-;-;-
2020;WZ08-Q;Gesundheits- und Sozialwesen;-;-;-;-;-;-;-;-;.;-;-;-
2020;WZ08-R;Kunst, Unterhaltung und Erholung;-;-;-;-;-;-;-;-;.;-;-;-
2020;WZ08-S;Erbringung von sonstigen Dienstleistungen;10930;38403;26596;22398;784;643;141;2842;.;2024;1296;513
2020;;Insgesamt;2485804;29430778;26894907;22697070;1189571;972524;217047;6705217;.;4522515;1818581;629010
2021;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1592;38149;37087;34882;2185;1758;427;14890;.;10028;4294;2109
2021;WZ08-C;Verarbeitendes Gewerbe;206391;7981170;7809085;7312149;487399;394922;92478;2448147;.;2120499;706729;219330
2021;WZ08-D;Energieversorgung;63817;386423;300609;283468;24366;18891;5475;824733;.;817850;70850;46484
2021;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;9127;290491;288090;269524;15037;11924;3113;77378;.;75050;30515;15478
2021;WZ08-F;Baugewerbe;380348;2618160;2308352;2048539;99604;77329;22276;367828;.;392378;158014;58409
2021;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;537821;6376494;5870619;4813227;212342;175206;37136;2266714;.;706184;430555;218213
2021;WZ08-H;Verkehr und Lagerei;100471;2294052;2200768;1865121;84116;67904;16212;364796;.;259392;138382;54266
2021;WZ08-I;Gastgewerbe;222777;2007110;1775177;1482164;25605;20383;5223;71681;.;78666;43433;17828
2021;WZ08-J;Information und Kommunikation;129086;1545377;1424324;1263605;94308;78915;15393;329260;.;249498;152608;58301
2021;WZ08-K;Erbringung von Finanz- und Versicherungsleistungen;69915;1114369;1061118;933627;94488;75117;19371;598218;.;364689;198962;104474
2021;WZ08-L;Grundstücks- und Wohnungswesen;199991;670390;456436;392326;18573;15409;3163;139693;.;124000;86912;68340
2021;WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;471160;2644529;2135906;1885767;119097;99804;19293;348253;.;295338;200283;81186
2021;WZ08-N;Sonstige wirtschaftliche Dienstleistungen;217729;3272739;3057644;2396530;83056;68581;14474;240566;.;199280;146475;63419
2021;WZ08-P;Erziehung und Unterricht;50499;435949;386258;336887;13375;10904;2472;25129;.;25396;17509;4133
2021;WZ08-Q;Gesundheits- und Sozialwesen;253871;5633123;5304710;4360372;199307;161310;37996;377886;.;373271;267505;68199
2021;WZ08-R;Kunst, Unterhaltung und Erholung;77559;435380;357518;285020;9127;7620;1506;34006;.;35693;23063;13937
2021;WZ08-S;Erbringung von sonstigen Dienstleistungen;162528;620950;462926;412331;9419;7533;1886;31899;.;29526;21749;12330
2021;;Insgesamt;3154683;38364855;35236628;30375540;1591403;1293510;297893;8561077;.;6156737;2697838;1106436
2022;WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1575;38947;37331;34978;2467;1900;567;25184;410;11348;5411;2944
2022;WZ08-C;Verarbeitendes Gewerbe;204554;8041604;7868166;7360903;518848;411791;107057;2842708;165712;2458341;773337;254489
2022;WZ08-D;Energieversorgung;66352;405116;316634;297812;27078;19900;7178;1387737;3605;1368699;87648;60570
2022;WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;9838;308242;305636;286475;16428;13069;3359;86276;1046;83530;33221;16793
2022;WZ08-F;Baugewerbe;382005;2780210;2460625;2169220;109502;85697;23805;402858;1669;420307;169679;60177
2022;WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;537521;6426772;5924954;4806445;227043;187775;39268;2517366;672483;740745;445431;218388
2022;WZ08-H;Verkehr und Lagerei;100877;2289690;2194930;1837758;93585;75728;17857;461382;.;309510;157169;63584
2022;WZ08-I;Gastgewerbe;228672;2105691;1873477;1339610;34250;27746;6504;112098;.;109875;56139;21889
2022;WZ08-J;Information und Kommunikation;130517;1626692;1506281;1322054;101644;85116;16528;349733;.;263399;151907;50262
2022;WZ08-K;Erbringung von Finanz- und Versicherungsleistungen;69740;1096384;1043769;913510;98097;75906;22191;639547;.;443369;221823;123726
2022;WZ08-L;Grundstücks- und Wohnungswesen;185567;645669;455978;363977;19062;15821;3241;141922;.;123506;82189;63127
2022;WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;470484;2604868;2108791;1834649;121810;101762;20048;371850;.;300948;196305;74496
2022;WZ08-N;Sonstige wirtschaftliche Dienstleistungen;222828;3216724;3000216;2304971;92429;75626;16803;295206;.;239588;166736;74307
2022;WZ08-P;Erziehung und Unterricht;54156;455881;402999;326828;14285;11618;2667;29538;.;28632;19046;4761
2022;WZ08-Q;Gesundheits- und Sozialwesen;242042;5593249;5293273;4245179;208202;168772;39430;374052;.;366430;261163;52961
2022;WZ08-R;Kunst, Unterhaltung und Erholung;83234;456543;369973;253803;10642;8986;1656;46703;.;43005;26717;16075
2022;WZ08-S;Erbringung von sonstigen Dienstleistungen;169754;623512;460881;349466;10359;8366;1993;36556;.;32173;21694;11335
2022;;Insgesamt;3159716;38715794;35623912;30047639;1705732;1375579;330153;10120715;844925;7343404;2875615;1169883
